WORD,DEF
accoutumance,"[akutymᾶs] nf 1 ▶ acclimatation : acclimatization, habituation 2 ▶ dépendance : dependency, addiction"
"accoutumé, -mée","[akutyme] adj : usual, customary"
accoutumer,"[akutyme] vt ▶ habituer : to accustom s'accoutumer vr ~ à : to get accustomed to, to get used to"
accréditation,[akreditasjɔ̃] nf : accreditation
accréditer,"[akredite] vt 1 : to accredit (a person) 2 : to substantiate (a rumor, etc.) s'accréditer vr : to gain credibility"
accroc,"[akro] nm 1 ▶ déchirure : rip, tear 2 ▶ obstacle : obstacle, hitch, snag"
accrochage,"[akrɔ∫aʒ] nm 1 : hanging (for display) 2 : hooking, hitching 3 (military) skirmish 4 : clash, dispute 5 : minor collision (of an automobile)"
accroche,"[akrɔ∫] nf : slogan, catch phrase"
accrocher,"[akrɔ∫e] vt 1 : to hang up 2 : to hook, to hitch 3 : to get hold of (a person), to catch <accrocher le regard : to catch the eye> <accrocher un client : to buttonhole a client> 4 : to bump into, to hit vi 1 : to catch, to stick, to snag 2 : to attract attention, to catch on s'accrocher vr 1 : to hang on, to persevere 2 se disputer : to quarrel 3 ~ à : to hold on to, to cling to"
"accrocheur, -cheuse","[akrɔ∫œr, -∫øz] adj 1 ▶ tenace : tenacious 2 : catchy, eye-catching"
accroire,"[akrwar] vt {CONJUGATION 2} en faire accroire à : to take in, to dupe"
accroissement,"[akrwasmᾶ] nm ▶ augmentation : growth, increase"
accroître,[akrwatr] vt {CONJUGATION 25} : to increase s'accroître vr
accroupir,"[akrupir] v s'accroupir vr : to squat, to crouch"
accueil,"[akœj] nm ▶ réception : welcome, reception <faire bon accueil à : to welcome>"
"accueillant, -lante","[akœjã, -jãt] adj ▶ hospitalier : welcoming, hospitable"
accueillir,"[akœjir] vt {CONJUGATION 3} : to greet, to welcome"
acculer,"[akyle] vt 1 : to drive, to force 2 ~ àor ~ contre : to drive (someone) back against 3 ~ dans : to corner (someone) in"
accumulateur,[akymylatœr] nm : storage battery
accumulation,[akymylasjɔ̃] nf : accumulation
accumuler,"[akymyle] vt : to accumulate, to amass s'accumuler vr"
"accusateur 1, -trice","[akyzatœr, -tris] adj : accusatory, incriminating accusateur 2, -trice n : accuser"
accusatif,[akyzatif] nm : accusative (case)
accusation,[akyzasjɔ̃] nf 1 : accusation 2 l'accusation : the prosecution 3 mise en accusation : indictment 4 mettre en accusation : to indict
"accusé 1, -sée","[akyze] adj : marked, pronounced, prominent accusé 2, -sée n : defendant, accused accusé 3 nm accusé de réception : acknowledgment of receipt"
accuser,"[akyze] vt 1 : to accuse, to blame 2 : to show (up), to emphasize, to accentuate 3 accuser réception de : to acknowledge receipt of"
acerbe,"[asεrb] adj : acerbic, harsh"
"acéré, -rée",[asere] adj : sharp
acétate 1,"[asetat] nm : acetate acétate 2 nf, Can : transparency"
acétylène,[asetilεn] nm : acetylene
achalandage,[a∫alᾶdaʒ] nm : clientele
"achalandé, -dée",[a∫alᾶde] adj bien achalandé : well-stocked
achaler,"[a∫ale] vt, Can fam : to annoy"
"achalant, -lante","[a∫alᾶ, -lᾶt] adj"
"acharné, -née","[a∫arne] adj : fierce, unremitting, relentless"
acharnement,"[a∫arnəmα] nm : determination, relentlessness"
acharner,"[a∫arne] v s'acharner vr 1 : to persevere, to persist 2 ~ sur : to persecute, to hound"
achat,"[a∫a] nm 1 : purchasing, buying <faire des achats : to do some shopping> 2 ▶ emplette : purchase"
acheminement,"[a∫minmᾶ] nm : transporting, dispatch (of goods)"
acheminer,"[a∫mine] vt : to transport, to convey s'acheminer vr ~ vers : to move toward, to head for"
acheter,"[a∫te] vt {CONJUGATION 20} : to buy, to purchase"
"acheteur, -teuse","[a∫tœr, -tøz] n ▶ acquéreur : buyer"
achèvement,[a∫εvmᾶ] nm : completion
achever,"[a∫ve] vt {CONJUGATION 52} ▶ terminer : to complete, to finish s'achever vr 1 : to reach completion, to end 2 : to draw to a close"
achigan,"[a∫igᾶ] nm, Can : black bass"
achoppement,"[a∫ɔpmᾶ] nm pierre d'achoppement : obstacle, stumbling block"
achopper,[a∫ɔpe] vi : to stumble s'achopper vr
acide 1,"[asid] adj : acid, acidic acide 2 nm : acid"
acidité,"[asidite] nf : acidity, tartness, sourness"
"acidulé, -lée","[asidyle] adj : somewhat acid, tangy"
acier,[asje] nm : steel <acier inoxydable : stainless steel>
aciérie,[asjeri] nf : steelworks
acné,[akne] nf : acne
acolyte,"[akɔlit] nm 1 : acolyte (in religion) 2 : accomplice, confederate"
acompte,"[akɔ̃t] nm 1 : deposit, down payment 2 : installment"
aconit,[akɔnit] nm : monkshood
acoquiner,"[akɔkine] v s'acoquiner vr ~ avec : to team up with, to gang up with"
à-côté,"[akote] nm, pl à-côtés 1 : side issue 2 : extra money, perk"
à-coup,"[aku] nm, pl à-coups : jerk, jolt <par à-coups : in fits and starts>"
acoustique 1,[akustik] adj : acoustic acoustique 2 nf : acoustics
"acquéreur, -reuse","[akerœr, -røz] n ▶ acheteur : buyer"
acquérir,"[akerir] vt {CONJUGATION 21} 1 : to acquire, to obtain 2 : to purchase s'acquérir vr : to gain, to win (approval, etc.)"
acquière,[akjεr] acquiert [akjεr] etc. ▶ acquérir
acquiescement,[akjεsmᾶ] nm : acquiescence
acquiescer,"[akjese] vi {CONJUGATION 6} : to aquiesce, to agree"
acquis 1,[aki] pp ▶ acquérir
"acquis 2, -quise","[aki, -kiz] adj 1 : acquired 2 : established, accepted <fait acquis : accepted fact> <tenir pour acquis : to take for granted> acquis 3 nms & pl 1 : knowledge, experience 2 : benefit, gain"
acquisition,[akizisjɔ̃] nf 1 : acquisition 2 : purchase
acquit,[aki] nm 1 : receipt <par acquit : received> 2 par acquit de conscience : to put one's mind at ease
acquittement,"[akitmᾶ] nm 1 : payment (of a debt), fulfillment (of a promise, etc.) 2 : acquittal"
acquitter,"[akite] vt 1 : to acquit 2 ▶ payer : to settle, to pay (off) s'acquitter vr ~ de : to pay (a debt), to fulfill (an obligation, etc.)"
acre,[akr] nf : acre
âcre,"[akr] adj : acrid, bitter, pungent"
âcreté,"[akrəte] nf : bitterness, pungency"
acrimonie,[akrimɔni] nf : acrimony
"acrimonieux, -nieuse","[akrimɔnjø, -njøz] adj : acrimonious"
acrimonieusement,[-njøzmᾶ] adv
acrobate,[akrɔbat] nmf : acrobat
acrobatie,[akrɔbasi] nf : acrobatics
acrobatique,[akrɔbatik] adj : acrobatic
acronyme,[akrɔnim] nm : acronym
acrylique,[akrilik] adj & nm : acrylic
acte,"[akt] nm 1 : action, deed <acte gratuit : gratuitous act> <faire acte de présence : to put in an appearance> 2 : act (in a play) 3 : certificate, document <acte de naissance : birth certificate> <acte de vente : bill of sale> 4 actes nmpl : proceedings"
"acteur, -trice","[aktœr, -tris] n ▶ comédien : actor, actress f"
"actif 1, -tive","[aktif, -tiv] adj 1 : active 2 : working <les mères actives : working mothers> actif 2 nm 1 : assets pl, credits pl 2 : active voice (in grammar)"
action,"[aksjɔ̃] nf 1 : action, act <une bonne action : a good deed> <passer à l'action : to go into action> 2 : effect <sous l'action de : due to the effect of, because of> 3 : share (of a security) 4 : lawsuit 5 action de grâce(s) : thanksgiving (in religion)"
actionnaire,"[aksjɔnεr] nmf : stockholder, shareholder"
actionner,"[aksjɔne] vt 1 : to engage, to put into motion, to turn on 2 : to sue"
activement,"[aktivmᾶ] adv : actively, busily"
activer,"[aktive] vt 1 : to activate 2 : to speed up s'activer vr 1 : to bustle about, to be busy 2 fam : to get a move on"
activisme,[aktivism] nm : activism
activiste,[aktivist] adj & nmf : activist
activité,"[aktivite] nf : activity <être en activité : to be active, to be in operation> actrice ▶ acteur"
actuaire,[aktɥεr] nmf : actuary
actualisation,"[aktɥalizasjɔ̃] nf : updating, modernization"
actualiser,"[aktɥalize] vt : to update,to modernize"
actualité,[aktɥalite] nf 1 : current events pl 2 : relevance 3 les actualités : the news
"actuel, -tuelle","[aktɥεl] adj : current, present"
actuellement,[-tɥεlmᾶ] adv
acuité,[akɥite] nf : acuteness
acupuncture,[akypɔ̃ktyr] nf : acupuncture
adage,[adaʒ] nm ▶ maxime : adage
adaptabilité,[adaptabilite] nf : adaptability
adaptable,"[adaptabl] adj : adaptable, adjustable"
adaptateur,[adaptatœr] nm : adapter
adaptation,[adaptasjɔ̃] nf : adaptation
adapter,"[adapte] vt : to adapt, to fit s'adapter vr 1 : to adapt 2 : to suit, to be appropriate"
additif,[aditif] nm : additive
addition,"[adisjɔ̃] nf 1 : addition 2 ▶ note : bill, check (in a restaurant)"
"additionnel, -nelle",[adisjɔnεl] adj : additional
additionner,"[adisjɔne] vt : to add, to add up"
adepte,"[adεpt] nmf : follower, enthusiast"
"adéquat, -quate","[adekwa, -kwat] adj 1 ▶ suffisant : adequate 2 ▶ convenable : appropriate"
adéquatement,[-kwatmã] adv
adéquation,"[adekwasjɔ̃] nf : appropriateness, suitability"
adhérence,[aderᾶs] nf : adhesion
"adhérent 1, -rente","[aderᾶ, -rᾶt] adj : adhering, sticking adhérent 2, -rente n ▶ membre : member"
adhérer,"[adere] vi {CONJUGATION 87} 1 : to adhere, to stick <adhérer à la route : to stick to the road> 2 ~ à : to join"
"adhésif 1, -sive","[adezif, -ziv] adj : adhesive adhésif 2 nm : adhesive"
adhésion,"[adezjɔ̃] nf 1 : adhesion, sticking 2 : adherence,support 3 : joining, membership"
adieu,"[adjø] nm, pl adieux : farewell, good-bye <faire ses adieux à : to say good-bye to> <un discours d'adieu : a farewell address>"
"adjacent, -cente","[adʒasᾶ, -sᾶt] adj : adjacent"
"adjectif 1, -tive adj","[adʒεktif, -tiv] : adjectival adjectif 2 nm : adjective"
"adjectival, -vale","[adʒεktival] adj, mpl -vaux [-vo] : adjectival"
adjoindre,"[adʒwɛ̃dr] vt {CONJUGATION 50} 1 : to appoint (as an assistant) 2 : to add, to attach s'adjoindre vr s'adjoindre qqn : to take s.o. on, to hire s.o."
"adjoint, -jointe","[adʒwɛ̃, -ʒwɛ̃t] adj & n : assistant"
adjonction,[adʒɔ̃ksjɔ̃] nf : addition
adjudant,"[adʒydᾶ] nm : warrant officer, adjutant"
adjudication,"[adʒydikasjɔ̃] nf 1 : auctioning, sale by auction 2 : awarding (of a contract)"
adjuger,"[adʒyʒe] vt {CONJUGATION 17} 1 ▶ décerner : to award 2 : to auction s'adjuger vr : to claim, to take for oneself"
adjurer,"[adʒyre] vt ▶ supplier : to implore, to beseech"
admettre,"[admεtr] vt {CONJUGATION 53} 1 : to admit, to let in 2 : to acknowledge, to concede 3 : to permit, to accept"
"administrateur, -trice","[administratœr, -tris] n : director, administrator"
"administratif, -tive","[administratif, -tiv] adj : administrative"
administrativement,[-tivmᾶ] adv
administration,[administrasjɔ̃] nf : administration <administration commerciale : business administration>
administrer,"[administre] vt 1 ▶ gérer : to administer, to manage 2 : to dispense <administrer un médicament : to administer a drug>"
admirable,[admirabl] adj : admirable
admirablement,[-rabləmᾶ] adv
"admirateur, -trice","[admiratœr, -tris] n : admirer"
"admiratif, -tive","[admiratif, -tiv] adj : admiring"
admirativement,[-tivmᾶ] adv
admiration,[admirasjɔ̃] nf : admiration
admirer,[admire] vt : to admire
admissible,"[admisibl] adj : admissible, eligible"
admission,"[admisjɔ̃] nf 1 : admission 2 : intake, induction"
admonester,[admɔnεste] vt : to admonish
admonition,[admɔnisjɔ̃] nf : admonition
ADN,[adeεn] nm : DNA
ado,"[ado] nmf, fam : adolescent, teenager"
adolescence,[adɔlesᾶs] nf : adolescence
"adolescent, -cente","[-lesᾶ, -sᾶt] adj & n"
adon,"[adɔ̃] nm, Can : lucky break"
adonner,"[adɔne] vi, Can fam : to be convenient <viens me voir si ça adonne : drop by if you get a chance> s'adonner vr 1 ~ à : to devote oneself to 2 ~ avec Can : to get along well with"
adopter,[adɔpte] vt : to adopt
"adoptif, -tive","[adɔptif, -tiv] adj : adoptive, adopted"
adoption,[adɔpsjɔ̃] nf : adoption
adorable,[adɔrabl] adj : adorable
adorablement,[-rabləmᾶ] adv
adoration,[adɔrasjɔ̃] nf : adoration
adorer,"[adɔre] vt 1 : to adore, to worship 2 : to love"
adosser,[adose] vt 1 : to place back to back 2 ~ àor ~ contre : to lean against s'adosser vr
adoucir,"[adusir] vt 1 : to soften, to tone down, to subdue 2 : to sweeten 3 : to alleviate, to ease s'adoucir vr"
adoucissement,"[adusismã] nm 1 : softening 2 : sweetening 3 : alleviation, easing, mitigation"
adrénaline,[adrenalin] nf : adrenalin
adresse,"[adrεs] nf 1 : address 2 ▶ habileté : skill, dexterity <adresse au tir : marksmanship>"
